,Category 0,Category 1,Category 2,Category 3,Latitude,Location,Longitude,Name,Out of Business,Price,Rating,Review Count
80,Sushi Bars,Japanese,,,33.6716482930377,"Irvine, CA",-117.789346016944,Crazy Rock'N Sushi,False,$$,4.0,408
81,Halal,Mediterranean,,,33.695844,"Irvine, CA",-117.76469,Olive Oil Mediterranean Grill,False,$$,4.0,294
82,Indian,,,,33.7039677255639,"Irvine, CA",-117.785740015042,Annapoorna Indian Cuisines,False,$$,4.0,930
83,Japanese,Sushi Bars,,,33.688560908995,"Irvine, CA",-117.771432440475,Taiko,False,$$,4.0,1612
84,Peruvian,,,,33.657314,"Irvine, CA",-117.769778,Inka's Restaurant,False,$$,4.0,347
85,Breakfast & Brunch,Burgers,Hawaiian,,33.7060337,"Irvine, CA",-117.7866837,Stacks Pancake House,False,$$,4.0,1083
86,Middle Eastern,Persian/Iranian,Mediterranean,,33.7085365435715,"Irvine, CA",-117.782428115228,Caspian Restaurant,False,$$,3.5,961
87,Poke,Salad,Sushi Bars,,33.6957037370608,"Irvine, CA",-117.799307587801,Pokeworks,False,$$,4.0,508
88,Thai,,,,33.6814329062045,"Irvine, CA",-117.805258528553,Thai Kitchen,False,$$,3.5,534
89,Korean,Barbeque,,,33.68806,"Irvine, CA",-117.77158,Shik Do Rak,False,$$,3.5,1350
90,Lounges,Asian Fusion,,,33.68852,"Irvine, CA",-117.81348,Cafe 1611,False,$$$$,4.5,3
91,Vegetarian,Thai,Vegan,,33.7053094817741,"Irvine, CA",-117.784836562568,The Wheel Of Life,False,$$,4.0,673
92,American (New),Wine Bars,,,43.07421,"Madison, WI",-89.38627,Graft,False,$$$,4.5,357
93,American (New),,,,43.0750940450292,"Madison, WI",-89.3820914576721,Graze,False,$$,4.0,1084
94,American (New),Gastropubs,Breakfast & Brunch,,43.0768340202013,"Madison, WI",-89.3832337316105,Heritage Tavern,False,$$$,4.5,419
95,American (Traditional),Breakfast & Brunch,Beer Bar,,43.0761862475496,"Madison, WI",-89.3837572171967,The Old Fashioned,False,$$,4.0,1743
96,Bars,American (Traditional),,,43.074727,"Madison, WI",-89.3815378,The Tipsy Cow,False,$$,4.0,407
97,Russian,Asian Fusion,,,43.074503,"Madison, WI",-89.394115,Paul's Pel'meni,False,$,4.5,429
98,French,,,,43.07822,"Madison, WI",-89.3709499,La Kitchenette,False,$$,4.5,84
99,Cocktail Bars,Wine Bars,American (New),,43.07427,"Madison, WI",-89.38101,Merchant,False,$$,4.0,540
100,Steakhouses,Bars,Seafood,,43.07243,"Madison, WI",-89.38434,Tornado Steak House,False,$$$,4.0,505
101,Hot Pot,Chinese,,,43.0529651478213,"Madison, WI",-89.3962534169718,Double 10 Mini Hot Pot,False,$$,4.5,157
102,Burgers,Vegan,Vegetarian,,43.07285,"Madison, WI",-89.3955299,Dotty Dumpling's Dowry,False,$$,4.0,518
103,Italian,,,,43.0741091911494,"Madison, WI",-89.3793041899978,Osteria Papavero,False,$$,4.0,176
104,Ramen,,,,43.0747543098252,"Madison, WI",-89.38133507967,Morris Ramen,False,$$,4.0,176
105,American (New),Bars,,,43.07551,"Madison, WI",-89.39565,Camp Trippalindee,False,$$,4.0,42
106,Middle Eastern,,,,43.06763,"Madison, WI",-89.41049,Noosh,False,$$,4.5,18
107,Ramen,,,,43.0724311441094,"Madison, WI",-89.3957334318544,Strings Ramen,False,$$,4.0,98
108,American (Traditional),Pubs,Beer Bar,,43.07512,"Madison, WI",-89.39176,HopCat,False,$$,4.0,352
109,Hot Dogs,Burgers,Sandwiches,,43.06787,"Madison, WI",-89.40166,Sweet Home Wisconsin,False,$$,4.5,43
110,Wine Bars,Whiskey Bars,Tapas Bars,,43.07668,"Madison, WI",-89.3839,Boar & Barrel,False,$$$,4.0,27
111,Sushi Bars,Desserts,Cocktail Bars,,43.07284,"Madison, WI",-89.38811,RED,False,$$,4.5,206
112,Italian,,,,43.07742,"Madison, WI",-89.38156,Naples 15,False,$$$,4.0,215
113,Greek,Mediterranean,,,43.07468,"Madison, WI",-89.39631,Mediterranean Cafe,False,$,4.5,187
114,Spanish,Tapas Bars,Basque,,43.0743805807623,"Madison, WI",-89.3903519958258,Estrellón,False,$$$,4.0,155
115,Chinese,,,,43.07468,"Madison, WI",-89.39393,Chen's Dumpling House,False,$,4.0,51
116,Thai,Food Stands,,,43.0755641,"Madison, WI",-89.3974633,Luang Prabang,False,$,4.5,40
117,Tacos,Cocktail Bars,,,43.07264,"Madison, WI",-89.38398,Canteen,False,$$,4.0,180
118,French,Breakfast & Brunch,Bars,,43.0758619691491,"Madison, WI",-89.3746270098814,Sardine,False,$$,4.0,447
119,Italian,Wine Bars,Sandwiches,,43.0734362650751,"Madison, WI",-89.386740792611,Casetta Kitchen and Counter,False,$$,4.5,57
120,Latin American,Steakhouses,Mexican,,43.0719925103078,"Madison, WI",-89.3895536687156,A La Brasa Mexican Grill,False,$,4.0,107
121,Pizza,American (New),Lounges,,43.0745234172,"Madison, WI",-89.3815466466688,Lucille,False,$$,4.0,282
122,American (New),,,,43.075289456191,"Madison, WI",-89.382360033589,L'Etoile,False,$$$$,4.5,251
123,Steakhouses,Seafood,American (Traditional),,43.07532,"Madison, WI",-89.38614,Rare Steakhouse,False,$$$$,4.0,241
124,Bars,Seafood,Steakhouses,,43.0739300186193,"Madison, WI",-89.3796241523758,Tempest Oyster Bar,False,$$$,4.0,255
125,Korean,Asian Fusion,Noodles,,43.0811127631959,"Madison, WI",-89.3756995386231,Sujeo,False,$$,3.5,237
126,American (New),,,,43.07458,"Madison, WI",-89.38933,Fresco,False,$$$,4.0,199
127,Italian,Breakfast & Brunch,Desserts,,43.074546,"Madison, WI",-89.387355,Cento,False,$$$,4.0,301
128,Mexican,Seafood,Latin American,,43.0756163,"Madison, WI",-89.3793937,Blue Agave,False,$$,4.0,77
129,Pizza,American (New),Mexican,,43.0848916370801,"Madison, WI",-89.3759002536535,Salvatore's Tomato Pies,False,$$,4.5,200
130,American (Traditional),Pubs,Burgers,,43.07546,"Madison, WI",-89.393063,The Side Door Grill and Tap,False,$$,4.0,100
131,Wine Bars,Seafood,Cocktail Bars,,43.0764517360126,"Madison, WI",-89.3823144212365,Eno Vino Downtown,False,$$,4.0,150
132,American (New),Pubs,,,43.075216,"Madison, WI",-89.386276,The Cooper's Tavern,False,$$,4.0,407
133,Steakhouses,Seafood,,,43.052432,"Madison, WI",-89.379756,Wonder Bar Steakhouse,False,$$$,3.5,134
134,Mediterranean,Pakistani,Halal,,43.0725298,"Madison, WI",-89.3936175,Madistan,False,$,4.0,70
135,Himalayan/Nepalese,,,,43.07495,"Madison, WI",-89.39077,Himal Chuli,False,$$,4.0,238
136,Barbeque,Korean,,,43.07846,"Madison, WI",-89.37804,Five Star Korean BBQ,False,$$,3.5,105
137,Indonesian,,,,43.076604,"Madison, WI",-89.3745656,Bandung Indonesian Restaurant,False,$$,4.0,225
138,Chinese,Fast Food,Pasta Shops,,37.5603344028298,"Fremont, CA",-122.010552883005,A Sack of Potatoes,False,$,4.0,59
139,Korean,Asian Fusion,Chicken Wings,,37.534781,"Fremont, CA",-121.96496,KA YuMi Diner,False,$$,4.0,479
140,Korean,Chicken Shop,,,37.5355733234144,"Fremont, CA",-121.998047903233,Vons Chicken,False,$$,4.0,58
141,Thai,,,,37.5505241,"Fremont, CA",-121.9793462,Sala Thai,False,$$,4.0,2105
142,Asian Fusion,Sushi Bars,Ramen,,37.5438591450212,"Fremont, CA",-121.981836226954,Sweet Garden,False,$,4.5,223
143,Ramen,Noodles,,,37.54775,"Fremont, CA",-121.98474,Yokohama Iekei Ramen,False,$$,4.0,36
144,Shanghainese,,,,37.550794,"Fremont, CA",-121.980952,Din Ding Dumpling House,False,$$,3.5,1057
145,Thai,Laotian,,,37.522938,"Fremont, CA",-121.9572683,Green Champa Garden,False,$$,4.0,906
146,Middle Eastern,Juice Bars & Smoothies,,,37.5048876,"Fremont, CA",-121.9701053,Dish n' Dash,False,$$,4.5,580
147,Creperies,Thai,Desserts,,37.5352719962764,"Fremont, CA",-121.9979869,Le Moose Crepe Cafe,False,$$,4.0,1155
148,Afghan,Halal,Middle Eastern,,37.5326499,"Fremont, CA",-122.00221,Fremont Afghan Kabob,False,$$,4.0,556
149,Sushi Bars,Japanese,,,37.5495200924684,"Fremont, CA",-121.986431338286,Aniki's Sushi,False,$$,4.0,1936
150,Korean,Asian Fusion,Cocktail Bars,,37.51838,"Fremont, CA",-121.98959,Soo Ja Fusion Bistro,False,$$,4.0,194
151,American (New),Burgers,Sandwiches,,37.52594,"Fremont, CA",-122.00612,Lazy Dog Restaurant & Bar,False,$$,4.0,407
152,American (Traditional),,,,37.5330543518066,"Fremont, CA",-122.001739501953,Country Way,False,$$,4.0,2091
153,Afghan,,,,37.5577268634313,"Fremont, CA",-122.006441241109,De Afghanan Cuisine,False,$$,4.0,1409
154,Seafood,Cajun/Creole,,,37.529907,"Fremont, CA",-121.983147,Cut The Crab,False,$$,3.5,504
155,Burmese,Asian Fusion,,,37.5320230270835,"Fremont, CA",-121.960181371967,Myanmar Tea Garden,False,$$,4.0,338
156,Seafood,Salad,Bars,,37.5057997558153,"Fremont, CA",-121.970154670003,Market Broiler,False,$$,3.5,1335
157,Mediterranean,Greek,,,37.5540318,"Fremont, CA",-121.984093,Yalla Mediterranean,False,$$,4.0,415
158,Afghan,,,,37.54945,"Fremont, CA",-121.98637,Metropole Restaurant,False,$$,4.5,200
159,Chinese,Noodles,,,37.56291,"Fremont, CA",-122.01009,Shinry Lamian,False,$$,4.0,92
160,Mexican,,,,37.5455496665296,"Fremont, CA",-121.980292253146,Taqueria Limon,False,$,4.0,332
161,Sushi Bars,Japanese,Desserts,,37.5625444,"Fremont, CA",-122.0098005,Satomi Sushi,False,$$,4.0,2087
162,Burmese,,,,37.5627098,"Fremont, CA",-122.0103073,Kyain Kyain,False,$,4.0,296
163,Donuts,Breakfast & Brunch,Coffee & Tea,,37.559903868343,"Fremont, CA",-122.009873324027,Bun Appétit Donuts,False,$,4.5,265
164,Chinese,,,,37.5231,"Fremont, CA",-122.00605,Good Fortune Chinese Restaurant,False,$$,5.0,90
165,Vietnamese,Soup,,,37.5460295554385,"Fremont, CA",-121.987163722515,Bistro Viet House,False,$,4.0,170
166,Ramen,Bubble Tea,,,37.5254118,"Fremont, CA",-121.9975735,Yugo Ramen,False,$$,4.0,356
167,Korean,,,,37.5627406686544,"Fremont, CA",-122.009570896626,Gangnam Tofu House,False,$$,4.0,381
168,Ramen,,,,37.56264,"Fremont, CA",-122.01499,Ramen Instant,False,$$,4.0,303
169,Italian,American (New),Steakhouses,,37.5334157293421,"Fremont, CA",-121.999611854553,Massimo's,False,$$$,3.5,474
170,Shanghainese,,,,37.5193723223453,"Fremont, CA",-121.990044237496,I-Shanghai Delight,False,$$,3.5,348
171,Ramen,,,,37.522306208341,"Fremont, CA",-122.004164541063,Cocolo Ramen,False,$$,4.0,33
172,Japanese,Sushi Bars,,,37.5500607,"Fremont, CA",-121.979443,Papasan Rolls and Bowls,False,$$,4.0,294
173,Mexican,,,,37.5502207491959,"Fremont, CA",-121.980063321538,Los Cabos,False,$,4.0,414
174,Cafes,,,,37.5477599,"Fremont, CA",-121.98475,Bill's Cafe,False,$$,4.0,320
175,Breakfast & Brunch,American (Traditional),Cocktail Bars,,37.5281665,"Fremont, CA",-122.0004433,Jack's Restaurant & Bar,False,$$,4.0,667
176,Burgers,American (Traditional),,,37.5522663,"Fremont, CA",-121.9780029,The Counter Fremont,False,$$,3.5,1030
177,Chinese,Indian,Food Trucks,,37.5519,"Fremont, CA",-121.9849,MoMo CooK,False,$,4.5,87
178,Italian,Wine Bars,,,37.55035,"Fremont, CA",-121.98037,Ristorante il porcino,False,$$,3.5,582
179,Barbeque,Dim Sum,,,37.5450308,"Fremont, CA",-121.9809375,Tai Pan BBQ Express Dim Sum,False,$,4.0,301
180,Asian Fusion,Korean,,,37.5226671248674,"Fremont, CA",-122.003506422043,Sia Fusion Eatery,False,$$,4.0,713
181,Coffee & Tea,Waffles,Italian,,37.518391,"Fremont, CA",-121.990183,Who's Tea,False,$$,4.0,239
182,Asian Fusion,Pakistani,Halal,,37.5344861517822,"Fremont, CA",-121.960552244792,Mirchi Cafe and Masala Pizza,False,$$,4.0,549
183,Middle Eastern,Turkish,Halal,,37.5495543166289,"Fremont, CA",-121.986420063735,Gaters,False,$,4.0,915
184,Italian,Salad,,,37.53137,"Fremont, CA",-121.99925,Olive Garden Italian Restaurant,False,$$,3.0,610
185,Mediterranean,Tapas/Small Plates,Wine Bars,,33.680305,"Huntington Beach, CA",-118.005161,The Black Trumpet Bistro Tapas & Wine Bar,False,$$,4.5,810
186,American (New),Tapas/Small Plates,Wine Bars,,33.69601,"Huntington Beach, CA",-117.98834,Heirloom a Modern Farmhouse,False,$$,4.5,90
187,Burgers,Sports Bars,American (Traditional),,33.71429,"Huntington Beach, CA",-117.98953,Slater's 50/50 - Huntington Beach,False,$$,4.0,3297
188,Seafood,Sandwiches,Fish & Chips,,33.6767007,"Huntington Beach, CA",-117.9883751,Slapfish,False,$$,4.0,2200
189,Italian,,,,33.7007943,"Huntington Beach, CA",-117.9893884,Mazara Trattoria,False,$$,4.5,472
190,Italian,Seafood,Pizza,,33.6767841,"Huntington Beach, CA",-117.9883751,Capones Italian Cucina,False,$$,4.5,572
191,American (New),Bars,,,33.6719751,"Huntington Beach, CA",-117.9905885,Triple Crown Tavern,False,$$,5.0,97
192,Italian,Party & Event Planning,,,33.66175,"Huntington Beach, CA",-117.9986,Cucina Alessa,False,$$,4.0,841
193,Japanese,,,,33.6876309,"Huntington Beach, CA",-117.9883441,IKEDA,False,$$,4.5,414
194,Asian Fusion,Chinese,Sushi Bars,,33.6963197471391,"Huntington Beach, CA",-117.988179687697,NuVu Asian Taste,False,$$,4.5,232
195,Mexican,Comfort Food,,,33.70867,"Huntington Beach, CA",-117.9896,Holé Molé,False,$,4.0,511
196,Sushi Bars,Ramen,Desserts,,33.716241,"Huntington Beach, CA",-117.999146,Huntington RAMEN,False,$$,4.0,563
197,Japanese,Barbeque,,,33.71513,"Huntington Beach, CA",-117.9905,Gyu-Kaku Japanese BBQ,False,$$,4.0,1737
198,Sandwiches,Caterers,,,33.71513,"Huntington Beach, CA",-117.9905,Subculture Extraordinary Sandwiches,False,$,4.5,1586
199,Thai,Noodles,Soup,,33.6856235441253,"Huntington Beach, CA",-117.988397952336,Thai Gulf Restaurant,False,$,4.0,1531
200,Italian,Wine Bars,,,33.714482,"Huntington Beach, CA",-118.022467,Sebastiani's Italian Bistro,False,$$,4.5,226
201,Thai,,,,33.7122612,"Huntington Beach, CA",-117.9896622,Bangkok Avenue,False,$$,4.0,661
202,Juice Bars & Smoothies,Brazilian,Acai Bowls,,33.6734551,"Huntington Beach, CA",-117.9892724,"TASTE, Brazilian Style Gourmet",False,$$,4.5,159
203,Seafood,Gluten-Free,Fish & Chips,,33.7016707,"Huntington Beach, CA",-117.9893749,Surf City Fish Grill,False,$$,4.0,278
204,Japanese,Sushi Bars,,,33.70043,"Huntington Beach, CA",-117.990801,Matsu Restaurant,False,$$,4.0,1105
205,Thai,,,,33.7007441,"Huntington Beach, CA",-117.9903894,Thai Pepper,False,$,4.5,571
206,Peruvian,Chicken Shop,Seafood,,33.6844454803127,"Huntington Beach, CA",-117.987946344055,Peruvian Rotisserie Chicken,False,$$,4.0,458
207,Ramen,Izakaya,Sushi Bars,,33.692675,"Huntington Beach, CA",-117.9890549,Ramain39 Izakaya,False,$$,4.0,540
208,Thai,Vegan,Breakfast & Brunch,,33.69316,"Huntington Beach, CA",-117.98926,Munch Bistro - Thai With A Twist,False,$$,4.5,177
209,Asian Fusion,Cocktail Bars,,,33.7152147523344,"Huntington Beach, CA",-117.990843951702,The Cure Kitchen & Bar,False,$$,4.0,216
210,Sushi Bars,Japanese,Salad,,33.715263,"Huntington Beach, CA",-118.025474,Niya Sushi,False,$$,4.5,331
211,Beer Bar,Sandwiches,Cafes,,33.67619,"Huntington Beach, CA",-117.98806,Board & Brew - Huntington Beach,False,$,4.5,210
212,Vegan,Sandwiches,Wraps,,33.7152859953738,"Huntington Beach, CA",-117.990486206607,Vegan Nirvana,False,$$,4.5,1196
213,Seafood,Live/Raw Food,Beer Bar,,33.676216897076,"Huntington Beach, CA",-117.987208433333,Raw Bar By Slapfish,False,$$,4.0,114
214,Dive Bars,Pizza,Whiskey Bars,,33.7092003,"Huntington Beach, CA",-117.988883,Johnny's Saloon,False,$$,4.5,616
215,Middle Eastern,Persian/Iranian,Mediterranean,,33.7094593820972,"Huntington Beach, CA",-117.989838095972,Saffron Grill,False,$$,4.0,528
216,Greek,Mediterranean,,,33.68076,"Huntington Beach, CA",-118.00452,Athens West,False,$,4.0,305
217,Thai,,,,33.6618161,"Huntington Beach, CA",-117.9985768,Thai Wave Restaurant,False,$$,4.0,288
218,Thai,,,,33.6916244,"Huntington Beach, CA",-117.9922849,Lemon Thai Cuisine,False,$$,4.0,210
219,Japanese,Bars,Hot Pot,,33.71723,"Huntington Beach, CA",-117.98959,Slice Shabu,False,$$,4.0,291
220,Japanese,Sushi Bars,,,33.6916794,"Huntington Beach, CA",-117.9922216,Hashigo Sushi,False,$$,4.0,549
221,Mexican,Desserts,,,33.6677035393026,"Huntington Beach, CA",-118.009128406207,Fiesta Grill & Catering,False,$,4.5,438
222,Thai,Salad,Soup,,33.6767633,"Huntington Beach, CA",-117.9883751,Silk Thai Cuisine,False,$$,4.0,571
223,Sushi Bars,Asian Fusion,Poke,,33.6926838,"Huntington Beach, CA",-117.9890549,Rollrritto + Poke Bar,False,$$,4.5,410
224,Italian,,,,33.690036,"Huntington Beach, CA",-117.988291,Baci Restaurant,False,$$,4.0,344
225,Mexican,,,,33.7164334,"Huntington Beach, CA",-118.0067349,Don Ramon's Mexican Restaurant,False,$$,4.0,329
226,Vietnamese,,,,33.685511,"Huntington Beach, CA",-117.987829,Pho Tastee,False,$,4.0,363
227,Pizza,Fast Food,,,33.6802631908106,"Huntington Beach, CA",-118.004743987599,MOD Pizza,False,$,4.0,192
