,Category 0,Category 1,Category 2,Category 3,Latitude,Location,Longitude,Name,Out of Business,Price,Rating,Review Count,Happiness Score
75,Burgers,Ice Cream & Frozen Yogurt,Hot Dogs,,33.671683,"Irvine, CA",-117.789418,"MOOYAH Burgers, Fries & Shakes",False,$,4.0,469,58.63
76,Ice Cream & Frozen Yogurt,Waffles,,,33.6892710671441,"Irvine, CA",-117.770197739192,Honeymee,False,$,3.5,366,58.58
77,Korean,Soup,Noodles,,33.695969,"Irvine, CA",-117.764616,Tang 190,False,$$,4.0,781,58.54
78,Korean,Barbeque,,,33.6967263159132,"Irvine, CA",-117.798274755478,All That Barbecue,False,$$,4.0,1937,58.46
79,Korean,,,,33.7049539621318,"Irvine, CA",-117.772674411535,Seoul Haus,False,$$,4.0,319,58.36
80,Hawaiian,Breakfast & Brunch,,,33.695805,"Irvine, CA",-117.764777,Da Luau Hawaiian Grill,False,$,3.5,500,58.2
81,Pizza,Italian,Salad,,33.668647,"Irvine, CA",-117.7850638,Square One Pizza Cafe,False,$$,4.0,441,58.12
82,Taiwanese,Hot Pot,Comfort Food,,33.7072942946735,"Irvine, CA",-117.78256935582,Boiling Point,False,$$,3.5,1775,58.04
83,Peruvian,,,,33.657314,"Irvine, CA",-117.769778,Inka's Restaurant,False,$$,4.0,347,57.72
84,Mediterranean,American (Traditional),Middle Eastern,,33.67107,"Irvine, CA",-117.78909,Olives Branch Express,False,$$,4.5,206,57.71
85,Ramen,Noodles,,,33.70676,"Irvine, CA",-117.78337,Hokkaido Ramen Santouka,False,$$,4.0,602,57.55
86,Poke,Salad,Sushi Bars,,33.6957037370608,"Irvine, CA",-117.799307587801,Pokeworks,False,$$,4.0,507,57.45
87,Taiwanese,Breakfast & Brunch,Chinese,,33.6812348985666,"Irvine, CA",-117.778315571212,Four Sea Restaurant,False,$,3.5,368,57.25
88,Chinese,Noodles,,,33.6841768,"Irvine, CA",-117.8119836,Capital Noodle Bar,False,$$,3.5,693,57.23
89,Asian Fusion,Cantonese,,,33.697422,"Irvine, CA",-117.798979,Tasty Garden,False,$$,3.0,622,57.1
90,Halal,Mediterranean,,,33.695844,"Irvine, CA",-117.76469,Olive Oil Mediterranean Grill,False,$$,4.0,294,57.09
91,Sushi Bars,Japanese,,,33.6716482930377,"Irvine, CA",-117.789346016944,Crazy Rock'N Sushi,False,$$,4.0,407,57.0
92,American (New),Wine Bars,,,43.07421,"Madison, WI",-89.38627,Graft,False,$$$,4.5,356,56.85
93,American (New),,,,43.0750940450292,"Madison, WI",-89.3820914576721,Graze,False,$$,4.0,1083,56.83
94,American (Traditional),Breakfast & Brunch,Beer Bar,,43.0761862475496,"Madison, WI",-89.3837572171967,The Old Fashioned,False,$$,4.0,1738,56.49
95,American (New),Gastropubs,Breakfast & Brunch,,43.0768340202013,"Madison, WI",-89.3832337316105,Heritage Tavern,False,$$$,4.5,419,56.35
96,Breakfast & Brunch,,,,43.07394,"Madison, WI",-89.3815599,Marigold Kitchen,False,$$,4.0,597,56.34
97,French,,,,43.07822,"Madison, WI",-89.3709499,La Kitchenette,False,$$,4.5,83,56.21
98,Breakfast & Brunch,American (Traditional),Donuts,,43.072731,"Madison, WI",-89.393353,Bassett Street Brunch Club,False,$$,4.0,528,56.17
99,Breakfast & Brunch,,,,43.0745169945835,"Madison, WI",-89.3899215012789,Short Stack Eatery,False,$$,4.0,422,56.02
100,Russian,Asian Fusion,,,43.074503,"Madison, WI",-89.394115,Paul's Pel'meni,False,$,4.5,429,55.97
101,Coffee & Tea,Breakfast & Brunch,Southern,,43.081653,"Madison, WI",-89.373548,Black Locust Cafe,False,$,4.5,105,55.94
102,Bars,American (Traditional),,,43.074727,"Madison, WI",-89.3815378,The Tipsy Cow,False,$$,4.0,406,55.61
103,French,Breakfast & Brunch,Bars,,43.0758619691491,"Madison, WI",-89.3746270098814,Sardine,False,$$,4.0,447,55.36
104,Coffee & Tea,Creperies,,,43.077237,"Madison, WI",-89.383889,Bradbury's,False,$,4.5,322,55.34
105,Breakfast & Brunch,,,,43.06743,"Madison, WI",-89.41298,Mickies Dairy Bar,False,$,4.0,315,55.33
106,Italian,Wine Bars,Sandwiches,,43.0734362650751,"Madison, WI",-89.386740792611,Casetta Kitchen and Counter,False,$$,4.5,56,55.2
107,Cocktail Bars,Wine Bars,American (New),,43.07427,"Madison, WI",-89.38101,Merchant,False,$$,4.0,539,54.93
108,Italian,Breakfast & Brunch,Desserts,,43.074546,"Madison, WI",-89.387355,Cento,False,$$$,4.0,299,54.9
109,Coffee & Tea,Breakfast & Brunch,Sandwiches,,43.0681572244919,"Madison, WI",-89.3949047960586,Porter,False,$,4.0,64,54.55
110,Middle Eastern,,,,43.06763,"Madison, WI",-89.41049,Noosh,False,$$,4.5,18,54.4
111,Hot Dogs,Burgers,Sandwiches,,43.06787,"Madison, WI",-89.40166,Sweet Home Wisconsin,False,$$,4.5,42,54.33
112,Burgers,Cocktail Bars,Breakfast & Brunch,,43.0735626220703,"Madison, WI",-89.3824691772461,DLUX,False,$$,4.0,441,54.13
113,Burgers,Vegan,Vegetarian,,43.07285,"Madison, WI",-89.3955299,Dotty Dumpling's Dowry,False,$$,4.0,517,54.13
114,Greek,Mediterranean,,,43.07468,"Madison, WI",-89.39631,Mediterranean Cafe,False,$,4.5,187,53.96
115,Hot Pot,Chinese,,,43.0529651478213,"Madison, WI",-89.3962534169718,Double 10 Mini Hot Pot,False,$$,4.5,157,53.5
116,Chinese,,,,43.07468,"Madison, WI",-89.39393,Chen's Dumpling House,False,$,4.0,49,53.29
117,Bakeries,Breakfast & Brunch,Patisserie/Cake Shop,,43.0800590515137,"Madison, WI",-89.3694076538086,Madison Sourdough,False,$$,4.5,249,53.19
118,Steakhouses,Bars,Seafood,,43.07243,"Madison, WI",-89.38434,Tornado Steak House,False,$$$,4.0,505,53.03
119,Mediterranean,Food Trucks,,,43.1016722348811,"Madison, WI",-89.364595413208,Banzo,False,$,4.5,334,52.76
120,Spanish,Tapas Bars,Basque,,43.0743805807623,"Madison, WI",-89.3903519958258,Estrellón,False,$$$,4.0,155,52.66
121,Italian,,,,43.0741091911494,"Madison, WI",-89.3793041899978,Osteria Papavero,False,$$,4.0,176,52.59
122,Street Vendors,Sandwiches,Salad,,43.0740986905559,"Madison, WI",-89.3828237056732,Good Food,False,$,5.0,74,52.41
123,Diners,Breakfast & Brunch,,,43.060073,"Madison, WI",-89.400418,The Curve,False,$,4.0,71,52.29
124,Wine Bars,Whiskey Bars,Tapas Bars,,43.07668,"Madison, WI",-89.3839,Boar & Barrel,False,$$$,4.0,26,51.99
125,Ramen,,,,43.0747543098252,"Madison, WI",-89.38133507967,Morris Ramen,False,$$,4.0,175,51.96
126,Ramen,,,,43.0724311441094,"Madison, WI",-89.3957334318544,Strings Ramen,False,$$,4.0,98,51.94
127,Sushi Bars,Desserts,Cocktail Bars,,43.07284,"Madison, WI",-89.38811,RED,False,$$,4.5,205,51.59
128,Tacos,Cocktail Bars,,,43.07264,"Madison, WI",-89.38398,Canteen,False,$$,4.0,180,51.5
129,Thai,Food Stands,,,43.0755641,"Madison, WI",-89.3974633,Luang Prabang,False,$,4.5,40,51.44
130,American (New),Breakfast & Brunch,Beer Bar,,43.08235,"Madison, WI",-89.3797,Forequarter,False,$$$,4.0,247,51.21
131,American (New),Bars,,,43.07551,"Madison, WI",-89.39565,Camp Trippalindee,False,$$,4.0,41,51.15
132,American (New),,,,43.07458,"Madison, WI",-89.38933,Fresco,False,$$$,4.0,199,51.14
133,Italian,,,,43.07742,"Madison, WI",-89.38156,Naples 15,False,$$$,4.0,216,50.98
134,American (Traditional),Pubs,Beer Bar,,43.07512,"Madison, WI",-89.39176,HopCat,False,$$,4.0,351,50.92
135,Belgian,Brasseries,Sandwiches,,43.06399,"Madison, WI",-89.418,Brasserie V,False,$$,4.0,329,50.55
136,Salad,Juice Bars & Smoothies,,,43.0746899,"Madison, WI",-89.39716,Forage Kitchen,False,$$,4.0,88,50.43
137,Bubble Tea,Fast Food,Pasta Shops,,37.5603344028298,"Fremont, CA",-122.010552883005,A Sack of Potatoes,False,$,4.0,45,50.31
138,American (Traditional),,,,37.5330543518066,"Fremont, CA",-122.001739501953,Country Way,False,$$,4.0,2089,49.97
139,Donuts,Breakfast & Brunch,Coffee & Tea,,37.559903868343,"Fremont, CA",-122.009873324027,Bun Appétit Donuts,False,$,4.5,262,49.94
140,Korean,Chicken Shop,,,37.5355733234144,"Fremont, CA",-121.998047903233,Vons Chicken,False,$$,4.0,56,49.79
141,Korean,Asian Fusion,Chicken Wings,,37.534781,"Fremont, CA",-121.96496,KA YuMi Diner,False,$$,4.0,479,49.77
142,Asian Fusion,Sushi Bars,Ramen,,37.5438591450212,"Fremont, CA",-121.981836226954,Sweet Garden,False,$,4.5,220,49.76
143,American (New),Burgers,Sandwiches,,37.52594,"Fremont, CA",-122.00612,Lazy Dog Restaurant & Bar,False,$$,4.0,399,49.56
144,Cafes,,,,37.5477599,"Fremont, CA",-121.98475,Bill's Cafe,False,$$,4.0,315,49.22
145,Middle Eastern,Juice Bars & Smoothies,,,37.5048876,"Fremont, CA",-121.9701053,Dish n' Dash,False,$$,4.5,578,48.86
146,Shanghainese,,,,37.550794,"Fremont, CA",-121.980952,Din Ding Dumpling House,False,$$,3.5,1051,48.75
147,Thai,,,,37.5505241,"Fremont, CA",-121.9793462,Sala Thai,False,$$,4.0,2103,48.56
148,Breakfast & Brunch,American (Traditional),Cocktail Bars,,37.5281665,"Fremont, CA",-122.0004433,Jack's Restaurant & Bar,False,$$,4.0,664,48.35
149,Creperies,Thai,Desserts,,37.5352719962764,"Fremont, CA",-121.9979869,Le Moose Crepe Cafe,False,$$,4.0,1156,48.08
150,Creperies,Cafes,Sandwiches,,37.553209,"Fremont, CA",-121.978229,Frodo Joe's Petit Cafe,False,$$,4.0,809,47.83
151,Cafes,Breakfast & Brunch,,,37.529682,"Fremont, CA",-121.982973,Cabrillo Park Café,False,$$,4.0,284,47.63
152,Coffee & Tea,Waffles,Italian,,37.518391,"Fremont, CA",-121.990183,Who's Tea,False,$$,4.0,237,47.57
153,Sushi Bars,Japanese,,,37.5495200924684,"Fremont, CA",-121.986431338286,Aniki's Sushi,False,$$,4.0,1933,47.19
154,Breakfast & Brunch,American (Traditional),,,37.561345,"Fremont, CA",-122.012155,Dino's Family Restaurant,False,$$,4.0,411,47.02
155,Thai,Laotian,,,37.522938,"Fremont, CA",-121.9572683,Green Champa Garden,False,$$,4.0,906,46.5
156,Afghan,Halal,Middle Eastern,,37.5326499,"Fremont, CA",-122.00221,Fremont Afghan Kabob,False,$$,4.0,556,46.32
157,Korean,Asian Fusion,Cocktail Bars,,37.51838,"Fremont, CA",-121.98959,Soo Ja Fusion Bistro,False,$$,4.0,191,45.81
158,American (Traditional),Breakfast & Brunch,Mexican,,37.5249889831235,"Fremont, CA",-122.004478613426,Wake Up America,False,$$,4.0,246,45.56
159,Chinese,Indian,Food Trucks,,37.5519,"Fremont, CA",-121.9849,MoMo CooK,False,$,4.5,83,45.48
160,Afghan,,,,37.5577268634313,"Fremont, CA",-122.006441241109,De Afghanan Cuisine,False,$$,4.0,1407,44.75
161,Seafood,Cajun/Creole,,,37.529907,"Fremont, CA",-121.983147,Cut The Crab,False,$$,3.5,504,44.7
162,Burmese,Asian Fusion,,,37.5320230270835,"Fremont, CA",-121.960181371967,Myanmar Tea Garden,False,$$,4.0,337,44.59
163,Mediterranean,Greek,,,37.5540318,"Fremont, CA",-121.984093,Yalla Mediterranean,False,$$,4.0,415,44.45
164,Sushi Bars,Japanese,Desserts,,37.5625444,"Fremont, CA",-122.0098005,Satomi Sushi,False,$$,4.0,2085,44.27
165,Chinese,Noodles,,,37.56291,"Fremont, CA",-122.01009,Shinry Lamian,False,$$,4.0,90,44.27
166,Chinese,,,,37.5231,"Fremont, CA",-122.00605,Good Fortune Chinese Restaurant,False,$$,5.0,88,44.17
167,Mexican,,,,37.5455496665296,"Fremont, CA",-121.980292253146,Taqueria Limon,False,$,4.0,330,44.05
168,Afghan,,,,37.54945,"Fremont, CA",-121.98637,Metropole Restaurant,False,$$,4.5,201,43.5
169,Venues & Event Spaces,American (Traditional),Filipino,,37.5587622,"Fremont, CA",-122.0077498,East Bay Cafe Depot,False,$,4.5,54,43.33
170,Fast Food,,,,37.5347190012435,"Fremont, CA",-122.000498196352,Chick-fil-A,False,$,3.5,389,42.85
171,Burmese,,,,37.5627098,"Fremont, CA",-122.0103073,Kyain Kyain,False,$,4.0,295,42.38
172,Ramen,Bubble Tea,,,37.5254118,"Fremont, CA",-121.9975735,Yugo Ramen,False,$$,4.0,352,42.22
173,Seafood,Salad,Bars,,37.5057997558153,"Fremont, CA",-121.970154670003,Market Broiler,False,$$,3.5,1331,41.86
174,Vietnamese,Soup,,,37.5460295554385,"Fremont, CA",-121.987163722515,Bistro Viet House,False,$,4.0,168,41.58
175,Ramen,,,,37.522306208341,"Fremont, CA",-122.004164541063,Cocolo Ramen,False,$$,4.0,30,41.4
176,Ramen,,,,37.56264,"Fremont, CA",-122.01499,Ramen Instant,False,$$,4.0,302,41.06
177,Korean,,,,37.5627406686544,"Fremont, CA",-122.009570896626,Gangnam Tofu House,False,$$,4.0,381,40.81
178,Mexican,,,,37.5502207491959,"Fremont, CA",-121.980063321538,Los Cabos,False,$,4.0,413,40.78
179,Shanghainese,,,,37.5193723223453,"Fremont, CA",-121.990044237496,I-Shanghai Delight,False,$$,3.5,347,39.68
180,Diners,Breakfast & Brunch,Burgers,,37.5367421269421,"Fremont, CA",-121.999751854211,Black Bear Diner,False,$$,3.5,511,39.48
181,Bubble Tea,Cafes,Shaved Ice,,37.56269,"Fremont, CA",-122.01509,Hot Love Cafe,False,$,4.5,95,29.19
182,Mediterranean,Tapas/Small Plates,Wine Bars,,33.680305,"Huntington Beach, CA",-118.005161,The Black Trumpet Bistro Tapas & Wine Bar,False,$$,4.5,810,
183,Breakfast & Brunch,American (New),,,33.6853215981096,"Huntington Beach, CA",-117.990534177944,Bread Crumb Ohana Cafe,False,$$,4.0,1070,
184,American (New),Tapas/Small Plates,Wine Bars,,33.69601,"Huntington Beach, CA",-117.98834,Heirloom a Modern Farmhouse,False,$$,4.5,89,
185,American (New),Bars,,,33.6719751,"Huntington Beach, CA",-117.9905885,Triple Crown Tavern,False,$$,5.0,97,
186,Breakfast & Brunch,Cafes,,,33.7152351,"Huntington Beach, CA",-118.0254,Cafe Cup,False,$,4.0,1064,
187,Coffee & Tea,Breakfast & Brunch,Cafes,,33.71626,"Huntington Beach, CA",-118.00246,Sweet Elle Café,False,$,4.5,837,
188,Seafood,Sandwiches,Fish & Chips,,33.6767007,"Huntington Beach, CA",-117.9883751,Slapfish,False,$$,4.0,2198,
189,Sandwiches,Caterers,,,33.71513,"Huntington Beach, CA",-117.9905,Subculture Extraordinary Sandwiches,False,$,4.5,1584,
190,Breakfast & Brunch,American (Traditional),,,33.7053506,"Huntington Beach, CA",-118.0062101,Park Bench Café,False,$$,4.0,513,
191,Burgers,Sports Bars,American (Traditional),,33.71429,"Huntington Beach, CA",-117.98953,Slater's 50/50 - Huntington Beach,False,$$,4.0,3287,
192,Italian,,,,33.7007943,"Huntington Beach, CA",-117.9893884,Mazara Trattoria,False,$$,4.5,472,
193,Thai,Vegan,Breakfast & Brunch,,33.69316,"Huntington Beach, CA",-117.98926,Munch Bistro - Thai With A Twist,False,$$,4.5,172,
194,Mexican,Comfort Food,,,33.70867,"Huntington Beach, CA",-117.9896,Holé Molé,False,$,4.0,508,
195,Juice Bars & Smoothies,Brazilian,Acai Bowls,,33.6734551,"Huntington Beach, CA",-117.9892724,"TASTE, Brazilian Style Gourmet",False,$$,4.5,158,
196,Cafes,Coffee & Tea,,,33.6635241090428,"Huntington Beach, CA",-118.004742110985,Sit Stay Cafe,False,$,4.5,238,
197,Sushi Bars,Ramen,Desserts,,33.716241,"Huntington Beach, CA",-117.999146,Huntington RAMEN,False,$$,4.0,562,
198,Japanese,,,,33.6876309,"Huntington Beach, CA",-117.9883441,IKEDA,False,$$,4.5,414,
199,Italian,Seafood,Pizza,,33.6767841,"Huntington Beach, CA",-117.9883751,Capones Italian Cucina,False,$$,4.5,572,
200,Italian,Party & Event Planning,,,33.66175,"Huntington Beach, CA",-117.9986,Cucina Alessa,False,$$,4.0,841,
201,Mexican,Breakfast & Brunch,,,33.6649578809738,"Huntington Beach, CA",-117.989351972938,Normita's Surf City Taco,False,$,4.5,588,
202,Beer Bar,Sandwiches,Cafes,,33.67619,"Huntington Beach, CA",-117.98806,Board & Brew - Huntington Beach,False,$,4.5,210,
203,Asian Fusion,Chinese,Sushi Bars,,33.6963197471391,"Huntington Beach, CA",-117.988179687697,NuVu Asian Taste,False,$$,4.5,227,
204,Mexican,Seafood,Breakfast & Brunch,,33.7199100891478,"Huntington Beach, CA",-118.00064489051,Achiote Grill,False,$,4.5,384,
205,Vegan,Sandwiches,Wraps,,33.7152859953738,"Huntington Beach, CA",-117.990486206607,Vegan Nirvana,False,$$,4.5,1193,
206,Diners,Mexican,Breakfast & Brunch,,33.7157048,"Huntington Beach, CA",-117.9984398,Carlitos's Diner,False,$,4.5,425,
207,Asian Fusion,Cocktail Bars,,,33.7152147523344,"Huntington Beach, CA",-117.990843951702,The Cure Kitchen & Bar,False,$$,4.0,217,
208,Italian,Wine Bars,,,33.714482,"Huntington Beach, CA",-118.022467,Sebastiani's Italian Bistro,False,$$,4.5,226,
209,Seafood,Gluten-Free,Fish & Chips,,33.7016707,"Huntington Beach, CA",-117.9893749,Surf City Fish Grill,False,$$,4.0,279,
210,Mexican,Desserts,,,33.6677035393026,"Huntington Beach, CA",-118.009128406207,Fiesta Grill & Catering,False,$,4.5,435,
211,Coffee & Tea,Sandwiches,Cafes,,33.6886545,"Huntington Beach, CA",-117.9881913,Monkey House Cafe,False,$,4.0,335,
212,Thai,Noodles,Soup,,33.6856235441253,"Huntington Beach, CA",-117.988397952336,Thai Gulf Restaurant,False,$,4.0,1530,
