,Category 0,Category 1,Category 2,Latitude,Location,Longitude,Name,Out of Business,Price,Rating,Review Count,Happiness Score
17,Lounges,,,43.0628,"Madison, WI",-89.40119,The Mason Lounge,False,$,4.5,61,66.01
18,American (Traditional),Pubs,Beer Bar,43.07512,"Madison, WI",-89.39176,HopCat,False,$$,4.0,351,65.79
19,Lounges,,,43.0727195739746,"Madison, WI",-89.384391784668,Genna's Lounge,False,$$,4.0,133,65.48
20,Bars,Sandwiches,,43.075625,"Madison, WI",-89.386593,The Bar,False,$$,4.5,12,65.07
21,Bars,American (Traditional),,43.074727,"Madison, WI",-89.3815378,The Tipsy Cow,False,$$,4.0,406,65.02
22,Music Venues,Bars,,43.0797271728516,"Madison, WI",-89.3761672973633,High Noon Saloon,False,$$,4.5,74,64.99
23,Wine Bars,Whiskey Bars,Tapas Bars,43.07668,"Madison, WI",-89.3839,Boar & Barrel,False,$$$,4.0,26,64.96
24,Lounges,,,43.0749588012695,"Madison, WI",-89.3811645507812,Maduro,False,$$,4.5,51,64.9
25,Dive Bars,Music Venues,,43.07637,"Madison, WI",-89.37625,Up North Bar,False,$,4.0,27,64.82
26,Dance Clubs,Cocktail Bars,Lounges,43.0743293762207,"Madison, WI",-89.39453125,Blue Velvet Lounge,False,$$,3.5,27,64.54
27,American (Traditional),Sports Bars,Pubs,43.06804,"Madison, WI",-89.40824,Jordan's Big Ten Pub,False,$$,4.5,108,64.51
28,American (Traditional),Breakfast & Brunch,Beer Bar,43.0761862475496,"Madison, WI",-89.3837572171967,The Old Fashioned,False,$$,4.0,1738,64.21
29,Dance Clubs,Pubs,Sports Bars,43.0758,"Madison, WI",-89.37722,Nomad World Pub,False,$,4.0,14,64.17
30,Beer Bar,,,43.0814961,"Madison, WI",-89.3736962,MadisonTap,False,$$,4.5,14,64.07
31,Burgers,Sports Bars,Chicken Wings,43.0675481,"Madison, WI",-89.4102847,SCONNIEBAR,False,$$,4.0,19,64.0
32,American (New),Bars,,43.07551,"Madison, WI",-89.39565,Camp Trippalindee,False,$$,4.0,41,63.83
33,Breweries,,,43.05003,"Madison, WI",-89.3921699,Funk Factory Geuzeria,False,$$,4.5,26,63.82
34,Dive Bars,American (New),,43.0728256376703,"Madison, WI",-89.3845476955175,The Paradise Lounge,False,$,4.0,73,63.5
35,Pubs,Burgers,,43.07538,"Madison, WI",-89.39021,The Plaza Tavern,False,$,4.0,83,63.43
36,Cocktail Bars,Wine Bars,American (New),43.07427,"Madison, WI",-89.38101,Merchant,False,$$,4.0,539,63.16
37,Brewpubs,,,43.0744454814495,"Madison, WI",-89.380063712597,The Great Dane Pub & Brewing Company,False,$$,4.0,737,62.82
38,Breakfast & Brunch,American (New),Beer Bar,43.07299,"Madison, WI",-89.3955,Vintage Spirits & Grill,False,$,4.0,58,62.8
39,Burgers,Dive Bars,,43.08191,"Madison, WI",-89.37939,The Caribou Tavern,False,$,4.0,58,62.7
40,Pizza,American (New),Lounges,43.0745234172,"Madison, WI",-89.3815466466688,Lucille,False,$$,4.0,282,62.41
41,American (New),Sports Bars,,43.07553,"Madison, WI",-89.39698,The Kollege Klub,False,$,2.5,39,62.35
42,Breweries,Comfort Food,,43.062202,"Madison, WI",-89.401055,Rockhound Brewing Company,False,$$,3.5,146,62.31
43,Lounges,Burgers,,43.0748987942934,"Madison, WI",-89.396074488759,City Bar,False,$$,3.5,46,62.3
44,Wine Bars,Seafood,Cocktail Bars,43.0764517360126,"Madison, WI",-89.3823144212365,Eno Vino Downtown,False,$$,4.0,149,61.96
45,Lounges,American (New),,43.0748794571196,"Madison, WI",-89.3883383274078,Paul's Club,False,$,3.5,100,61.94
46,Irish Pub,,,43.07442,"Madison, WI",-89.3926,Danny's Pub,False,$$,4.0,14,61.86
47,Pubs,American (Traditional),,43.0672802,"Madison, WI",-89.392125,Main Depot Tavern,False,$,4.0,17,61.83
48,Dive Bars,,,43.0742918,"Madison, WI",-89.3870431,Silver Dollar Tavern,False,$,4.0,37,61.73
49,Sushi Bars,Desserts,Cocktail Bars,43.07284,"Madison, WI",-89.38811,RED,False,$$,4.5,205,61.73
50,American (Traditional),Pubs,Burgers,43.07546,"Madison, WI",-89.393063,The Side Door Grill and Tap,False,$$,4.0,100,61.68
51,American (New),Pubs,,43.075216,"Madison, WI",-89.386276,The Cooper's Tavern,False,$$,4.0,407,61.22
52,American (Traditional),Pubs,,43.067604275813,"Madison, WI",-89.4081924836851,Lucky's 1313 Brew Pub,False,$$,3.5,39,61.16
53,Pubs,Venues & Event Spaces,,43.0728028,"Madison, WI",-89.3965157,Smitty's Study Pub,False,$$,3.5,13,61.11
54,American (Traditional),Gay Bars,,43.072439,"Madison, WI",-89.38461,Shamrock Bar & Grille,False,$,4.5,22,61.05
55,Dive Bars,,,43.06165,"Madison, WI",-89.40116,Rustic Tavern,False,$,3.5,8,60.99
56,Pizza,Dim Sum,Bars,43.074575534447,"Madison, WI",-89.379744413609,Natt Spil,False,$$,4.0,183,60.96
57,Piano Bars,,,43.0745099,"Madison, WI",-89.38721,Ivory Room Piano Bar,False,$$,3.5,74,60.96
58,Venues & Event Spaces,Food Court,Beer Gardens,43.0813586213119,"Madison, WI",-89.3743496772461,Robinia Courtyard,False,$$,4.5,9,60.96
59,Bars,,,43.081001,"Madison, WI",-89.375765,Star Bar,False,$$,3.0,33,60.9
60,Gay Bars,,,43.0748596191406,"Madison, WI",-89.3809127807617,Woof's,False,$,4.0,18,60.83
61,Bars,American (Traditional),,43.0718116760254,"Madison, WI",-89.3956146240234,Nitty Gritty - Madison,False,$$,3.0,168,60.33
62,Dance Clubs,Bars,Venues & Event Spaces,37.50772,"Fremont, CA",-121.98223,The Saddle Rack,False,$$,3.5,697,60.14
63,Dive Bars,Music Venues,,37.55892,"Fremont, CA",-122.00441,Mojo Lounge,False,$,3.5,189,60.11
64,"Beer, Wine & Spirits",Beer Bar,,37.5335884094238,"Fremont, CA",-121.999298095703,Cork 'n Bottle Liquors,False,$$,4.5,69,60.1
65,Sports Bars,Breweries,,37.54406,"Fremont, CA",-121.98751,Jack's Brewing Company,False,$$,3.5,420,60.08
66,Sports Bars,,,37.5347579447528,"Fremont, CA",-121.964950544182,The Spare Room,False,$,4.5,9,60.07
67,Pool Halls,,,37.52025,"Fremont, CA",-121.98733,California Billiards,False,$$,4.0,108,59.82
68,Sports Bars,Dive Bars,,37.5233638286591,"Fremont, CA",-121.957320794463,Kirby's Sports Bar,False,$,3.5,90,59.81
69,Sports Bars,,,37.533725,"Fremont, CA",-121.959571,Coach's Sports Bar,False,$,3.5,92,59.71
70,Sports Bars,,,37.5341838,"Fremont, CA",-121.9998648,The Huddle,False,$$,3.0,53,59.58
71,Wine Bars,Tapas/Small Plates,American (New),37.5261253,"Fremont, CA",-122.0018367,Vinum Bar,False,$$,3.5,120,59.53
72,Breakfast & Brunch,American (Traditional),Cocktail Bars,37.5281665,"Fremont, CA",-122.0004433,Jack's Restaurant & Bar,False,$$,4.0,664,59.51
73,Hookah Bars,,,37.53499,"Fremont, CA",-121.9671,Fire N Ice Hookah Lounge,False,$,4.0,123,59.47
74,Dive Bars,American (Traditional),,37.5268135070801,"Fremont, CA",-122.007682800293,Swiss Park Bar & Grille,False,$,3.5,46,59.25
75,Hookah Bars,Tobacco Shops,,37.55772,"Fremont, CA",-122.00661,Dream Hookah Lounge,False,$$,4.5,153,58.63
76,Korean,Asian Fusion,Cocktail Bars,37.51838,"Fremont, CA",-121.98959,Soo Ja Fusion Bistro,False,$$,4.0,191,58.58
77,American (New),Lounges,,37.522,"Fremont, CA",-121.99083,Bistro 880,False,$$,3.5,75,58.54
78,Seafood,Salad,Bars,37.5057997558153,"Fremont, CA",-121.970154670003,Market Broiler,False,$$,3.5,1331,58.46
79,Barbeque,American (Traditional),Bars,37.5526768,"Fremont, CA",-121.9844588,Smoking Pig BBQ,False,$$,3.0,927,58.36
80,American (New),Pizza,Breweries,37.528079,"Fremont, CA",-122.005766,BJ's Restaurant & Brewhouse,False,$$,3.0,1490,58.2
81,American (Traditional),Tex-Mex,Bars,37.54704,"Fremont, CA",-121.98607,Chili's,False,$$,2.5,357,58.12
82,Indian,Venues & Event Spaces,Bars,37.53136,"Fremont, CA",-121.99798,Sakoon Restaurant,False,$$,3.0,387,58.04
83,American (Traditional),Sports Bars,Burgers,37.53212,"Fremont, CA",-121.998797,Applebee's Grill + Bar,False,$$,2.0,249,57.72
84,Japanese,Karaoke,Sushi Bars,37.52243,"Fremont, CA",-121.99262,Nijo Castle,False,$$,3.0,645,57.71
85,Italian,Wine Bars,,37.55035,"Fremont, CA",-121.98037,Ristorante il porcino,False,$$,3.5,580,57.55
86,Food Trucks,Beer Bar,,37.8686633695358,"Fremont, CA",-122.273855039811,Lucky 13 BeerTruck,False,$,5.0,2,57.45
87,Karaoke,DJs,,37.12779,"Fremont, CA",-121.99977,Kor Karaoke,False,$,5.0,44,57.25
88,Jazz & Blues,Performing Arts,Musicians,37.7986566,"Fremont, CA",-122.4382307,The Turnaround Jazz Trio & Quartet,False,$$,5.0,28,57.23
89,DJs,Karaoke,,37.7885306820538,"Fremont, CA",-122.402249362304,Bay Area DJ and Karaoke Event Services,False,$$,5.0,48,57.1
90,Dive Bars,Pizza,Whiskey Bars,33.7092003,"Huntington Beach, CA",-117.988883,Johnny's Saloon,False,$$,4.5,614,57.09
91,Lounges,,,33.721339,"Huntington Beach, CA",-117.988623,Distractions Lounge,False,$$,3.5,67,57.0
92,Sports Bars,Wine Bars,Pool Halls,33.67189,"Huntington Beach, CA",-117.99644,Driftwood,False,$,4.5,30,56.85
93,Sports Bars,,,33.6884182,"Huntington Beach, CA",-117.9885451,Max's Sports Grill,False,$,3.5,94,56.83
94,Breweries,,,33.6950722,"Huntington Beach, CA",-117.9998932,Four Sons Brewing,False,$,4.5,328,56.49
95,American (New),Bars,,33.6719751,"Huntington Beach, CA",-117.9905885,Triple Crown Tavern,False,$$,5.0,97,56.35
96,Cideries,Beer Bar,,33.7157549,"Huntington Beach, CA",-118.0076009,Tree Branch Cider House,False,$$,4.5,123,56.34
97,Hookah Bars,Lounges,,33.7035271787531,"Huntington Beach, CA",-117.989560476057,Palmz Lounge,False,$$,4.5,99,56.21
98,Dive Bars,,,33.680083,"Huntington Beach, CA",-117.987833,Kit's Place,False,$,4.0,57,56.17
99,Breweries,,,33.7043188616381,"Huntington Beach, CA",-117.995439532022,Beachwood Brewing Taproom,False,$,4.5,55,56.02
100,Beer Bar,Sandwiches,Cafes,33.67619,"Huntington Beach, CA",-117.98806,Board & Brew - Huntington Beach,False,$,4.5,210,55.97
101,Asian Fusion,Cocktail Bars,,33.7152147523344,"Huntington Beach, CA",-117.990843951702,The Cure Kitchen & Bar,False,$$,4.0,217,55.94
102,Sports Bars,,,33.66793,"Huntington Beach, CA",-118.0090026,Redz Juke Joint,False,$,3.5,29,55.61
103,Sports Bars,Pool Halls,Dive Bars,33.69256,"Huntington Beach, CA",-117.98779,Shooters,False,$,3.0,34,55.36
104,Pool Halls,Dive Bars,Sports Bars,33.6734177104436,"Huntington Beach, CA",-117.989171067459,The Pen,False,$,3.5,74,55.34
105,Mediterranean,Tapas/Small Plates,Wine Bars,33.680305,"Huntington Beach, CA",-118.005161,The Black Trumpet Bistro Tapas & Wine Bar,False,$$,4.5,810,55.33
106,Seafood,Live/Raw Food,Beer Bar,33.676216897076,"Huntington Beach, CA",-117.987208433333,Raw Bar By Slapfish,False,$$,4.0,114,55.2
107,Sports Bars,American (Traditional),Pizza,33.7144031837991,"Huntington Beach, CA",-118.025038398509,Surf Dog's Sports Grill,False,$$,3.5,175,54.93
108,Hookah Bars,Lounges,Pool Halls,33.692637,"Huntington Beach, CA",-117.9878718,Sultana Ultra Hookah Lounge,False,$,4.0,166,54.9
109,American (New),Tapas/Small Plates,Wine Bars,33.69601,"Huntington Beach, CA",-117.98834,Heirloom a Modern Farmhouse,False,$$,4.5,89,54.55
110,Burgers,Sports Bars,American (Traditional),33.71429,"Huntington Beach, CA",-117.98953,Slater's 50/50 - Huntington Beach,False,$$,4.0,3287,54.4
111,Hookah Bars,Music Venues,,33.6851364,"Huntington Beach, CA",-117.9881635,Surf City Hookah Lounge,False,$$,5.0,64,54.33
112,Sports Bars,Pool Halls,,33.7111592,"Huntington Beach, CA",-117.9885651,Centerfield Sports Lounge,False,$,2.5,198,54.13
113,Japanese,Bars,Hot Pot,33.71723,"Huntington Beach, CA",-117.98959,Slice Shabu,False,$$,4.0,290,54.13
114,Wine Bars,American (Traditional),,33.63206,"Huntington Beach, CA",-117.95965,Pacific Kitchen,False,$$,2.0,19,53.96
115,Chicken Wings,Pizza,Sports Bars,33.69651,"Huntington Beach, CA",-117.98836,Wings 'N Things Grill,False,$$,3.5,413,53.5
116,Hookah Bars,,,33.6719362533336,"Huntington Beach, CA",-117.990060147404,Sufi Hookah Lounge,False,$$,4.5,9,53.29
117,Italian,Wine Bars,,33.714482,"Huntington Beach, CA",-118.022467,Sebastiani's Italian Bistro,False,$$,4.5,226,53.19
118,Hookah Bars,Cigar Bars,,33.688938,"Huntington Beach, CA",-117.988151,Bulldog Cigar & Hookah Lounge,False,$,4.0,36,53.03
119,DJs,Karaoke,,33.95564,"Huntington Beach, CA",-118.35063,DJ LU1G1,False,$$,5.0,4,52.76
120,Sports Bars,Casinos,,46.8650901901556,"Fargo, ND",-96.8450667348877,The Box,False,$$,4.0,5,52.66
121,Music Venues,Burgers,Sports Bars,46.8572132,"Fargo, ND",-96.8518517,Shotgun Sallys Fargo,False,$$,3.0,58,52.59
122,Bars,,,46.87638,"Fargo, ND",-96.82187,Rick's Bar,False,$,4.0,7,52.41
123,Music Venues,Bars,,46.8337597,"Fargo, ND",-96.8443421,The Windbreak,False,$$,3.0,4,52.29
124,Cocktail Bars,Dance Clubs,,46.86258,"Fargo, ND",-96.83078,Borrowed Bucks Roadhouse,False,$,3.5,10,51.99
125,Bars,,,46.83218,"Fargo, ND",-96.80436,Woody's Bar,False,$,3.0,7,51.96
126,Breweries,American (Traditional),Breakfast & Brunch,46.8559300942077,"Fargo, ND",-96.8501852525915,Granite City Food & Brewery,False,$$,3.5,142,51.94
127,Wine Bars,American (New),Coffee & Tea,46.85629,"Fargo, ND",-96.7986249,Luna Fargo,False,$$,4.5,55,51.59
128,"Beer, Wine & Spirits",Breweries,,46.8829598,"Fargo, ND",-96.7987776,The Fargo Brewing Company,False,$,4.5,32,51.5
129,American (New),Burgers,Beer Bar,46.86274,"Fargo, ND",-96.83635,Sickies Garage Burgers & Brews,False,$$,3.5,112,51.44
130,Burgers,Pubs,Beer Bar,46.8321342468262,"Fargo, ND",-96.8538513183594,JL Beers,False,$$,4.0,33,51.21
131,Breweries,,,46.8842613342783,"Fargo, ND",-96.8329730629921,Kilstone Brewing,False,$,4.0,5,51.15
132,Sports Bars,American (Traditional),,46.87491,"Fargo, ND",-96.84281,O'kelly's Tastes & Toddies,False,$$$,3.5,6,51.14
133,American (Traditional),Sports Bars,Burgers,46.861021,"Fargo, ND",-96.825292,Applebee's Grill + Bar,False,$$,3.5,12,50.98
134,American (Traditional),Bars,Tex-Mex,46.859276,"Fargo, ND",-96.848859,Chili's,False,$$,3.5,10,50.92
135,Pool Halls,Gastropubs,American (Traditional),46.83121,"Fargo, ND",-96.85615,Fargo Billiards & Gastropub,False,$$,3.0,32,50.55
136,Chicken Wings,American (Traditional),Sports Bars,46.857856,"Fargo, ND",-96.851974,Buffalo Wild Wings,False,$$,3.5,20,50.43
137,Sports Bars,,,46.87459,"Fargo, ND",-96.79923,Tailgators Sports Cafe,False,$$,3.0,10,50.31
138,American (Traditional),Bars,,32.7433916,"Grand Prairie, TX",-97.0141449,Theo's Grill & Bar,False,$,4.0,38,49.97
139,Cajun/Creole,Cocktail Bars,,32.7101822,"Grand Prairie, TX",-97.0129272,The Daiquiri Shoppe,False,$,4.0,138,49.94
140,Mexican,Bars,Seafood,32.7089767456055,"Grand Prairie, TX",-97.0081253051758,Rio Bravo Bar,False,$,3.0,57,49.79
141,Italian,Bars,,32.7453,"Grand Prairie, TX",-97.00377,Roma's Italian Bistro,False,$$,4.0,92,49.77
142,Breweries,Beer Tours,,32.7969139,"Grand Prairie, TX",-96.8291525,Peticolas Brewing Company,False,$,4.5,135,49.76
143,Cocktail Bars,,,37.3299695013926,"San Jose, CA",-121.886490175336,Haberdasher,False,$$,4.5,403,49.56
144,Cocktail Bars,American (New),,37.3350126347807,"San Jose, CA",-121.889442006445,Paper Plane,False,$$,4.0,1183,49.22
145,Lounges,,,37.2918209745229,"San Jose, CA",-121.878523185682,The Office,False,$,4.0,70,48.86
146,Pubs,,,37.3350562416977,"San Jose, CA",-121.889604939995,Original Gravity Public House,False,$$,4.0,774,48.75
147,Lounges,American (New),Cocktail Bars,37.33503,"San Jose, CA",-121.89013,55 South,False,$$,4.0,580,48.56
148,Cocktail Bars,,,37.3301734924316,"San Jose, CA",-121.886543273926,The Fountainhead Bar,False,$$,4.0,86,48.35
149,Cocktail Bars,Venues & Event Spaces,,37.3349582141378,"San Jose, CA",-121.893646197281,Five Points,False,$$,4.0,159,48.08
150,Dance Clubs,Lounges,,37.33393,"San Jose, CA",-121.89319,LVL 44,False,$$,4.0,82,47.83
151,Dive Bars,,,37.3352966308594,"San Jose, CA",-121.887718200684,Cinebar,False,$,3.5,349,47.63
152,Asian Fusion,Cocktail Bars,,37.33506,"San Jose, CA",-121.89078,Labyrinth Bar & Kitchen,False,$$,4.0,51,47.57
153,American (Traditional),Pubs,Gastropubs,37.3363226652145,"San Jose, CA",-121.893842965364,Firehouse No.1 Gastropub,False,$$,4.0,1440,47.19
154,Bars,,,37.336054,"San Jose, CA",-121.89467,Three Sisters,False,$$,4.0,51,47.02
155,Tapas/Small Plates,Wine Bars,Whiskey Bars,37.336178007464,"San Jose, CA",-121.893876187673,District San Jose,False,$$,4.0,204,46.5
156,Music Venues,Bars,Food Court,37.3366485,"San Jose, CA",-121.8941835,San Pedro Square Market,False,$$,4.5,907,46.32
157,Breweries,,,37.3320851622989,"San Jose, CA",-121.904354836713,Floodcraft Brewing,False,$$,4.0,138,45.81
158,Breweries,,,37.3199234131692,"San Jose, CA",-121.908018084656,Hapa's Brewing Company,False,$,4.5,219,45.56
159,Venues & Event Spaces,Beer Bar,Coffee & Tea,37.32983,"San Jose, CA",-121.88542,Forager Tasting Room & Eatery,False,$$,4.0,155,45.48
160,Irish Pub,,,37.3353538513184,"San Jose, CA",-121.893478393555,O'Flaherty's Irish Pub,False,$$,4.0,494,44.75
161,Beer Bar,,,37.3370318639,"San Jose, CA",-121.889120772981,ISO Beers,False,$$,4.0,281,44.7
162,Breweries,,,37.3106404,"San Jose, CA",-121.8577563,Strike Brewing,False,$,4.5,109,44.59
163,Lounges,Cocktail Bars,,37.3305473327637,"San Jose, CA",-121.886817932129,The Continental Bar,False,$$,3.5,201,44.45
164,Breweries,,,37.313457,"San Jose, CA",-121.867441,Hermitage Brewery,False,$,4.5,226,44.27
165,Brewpubs,Venues & Event Spaces,,37.32927,"San Jose, CA",-121.88587,Uproar Brewing Company,False,$$,4.0,251,44.27
166,Wine Bars,Beer Bar,,37.303838,"San Jose, CA",-121.897891,20twenty cheese bar,False,$$,3.5,155,44.17
167,Sports Bars,,,37.32333,"San Jose, CA",-121.86995,Javi's Keyes Club,False,$,4.0,13,44.05
168,Dive Bars,Karaoke,,37.3367905,"San Jose, CA",-121.8889794,Dive Bar,False,$$,3.5,268,43.5
169,American (New),Bars,,37.30686,"San Jose, CA",-121.90035,Braise,False,$$$,4.0,212,43.33
170,Dive Bars,,,37.32905,"San Jose, CA",-121.90084,Patty's Inn,False,$,3.5,106,42.85
171,Lounges,,,37.33213,"San Jose, CA",-121.90074,BMW Lounge,False,$$$$,5.0,5,42.38
172,Pubs,American (New),Fish & Chips,37.340004698355,"San Jose, CA",-121.89361557212,Trials Pub,False,$$,4.0,469,42.22
173,Lounges,Karaoke,,37.31018,"San Jose, CA",-121.90181,Goosetown Lounge,False,$,3.5,144,41.86
174,Bars,,,37.3147855,"San Jose, CA",-121.9059328,The Willow Den,False,$,3.0,244,41.58
175,Breweries,,,37.32544,"San Jose, CA",-121.88222,Camino Brewing Co,False,$$,4.5,77,41.4
176,Barbers,Cocktail Bars,,37.33651,"San Jose, CA",-121.89432,Barber Bar,False,$$,5.0,25,41.06
177,Cocktail Bars,Asian Fusion,Pizza,37.3352859388708,"San Jose, CA",-121.88993498683,Nomikai,False,$$,4.0,281,40.81
178,Sports Bars,American (Traditional),,37.3259735107422,"San Jose, CA",-121.908164978027,Tony P's Bar And Grill,False,$,4.0,72,40.78
179,Lounges,"Beer, Wine & Spirits",,37.330345,"San Jose, CA",-121.888078,Tanq Bar,False,$$,3.5,184,39.68
180,Lounges,Dance Clubs,,37.33537,"San Jose, CA",-121.88954,Temple Bar & Lounge,False,$$,3.0,487,39.48
181,Dive Bars,,,37.3374564,"San Jose, CA",-121.8887263,Back Bar,False,$,3.5,13,29.19
182,Dive Bars,,,37.3329811096191,"San Jose, CA",-121.892387390137,Caravan Lounge,False,$,3.5,138,
183,Tobacco Shops,Cigar Bars,,37.309498,"San Jose, CA",-121.886913,LG Cigar Club,False,$$,5.0,60,
184,Breweries,,,37.32158,"San Jose, CA",-121.87872,Clandestine Brewing,False,$$,4.5,60,
185,Bars,American (Traditional),,37.3364271443473,"San Jose, CA",-121.894047369607,The Old Wagon Saloon and Grill,False,$$,3.5,851,
186,Dance Clubs,Sports Bars,,37.3293676,"San Jose, CA",-121.8863664,Beso Club,False,$$,2.5,5,
187,Lounges,Jazz & Blues,,37.33441,"San Jose, CA",-121.89511,Hedley Club Lounge,False,$$,4.0,204,
188,Dance Clubs,Dive Bars,,37.32952,"San Jose, CA",-121.88612,Miami Beach Club,False,$$,2.5,74,
189,German,Bars,Venues & Event Spaces,37.34044,"San Jose, CA",-121.89275,Ludwigs German Table,False,$$,4.0,422,
190,Pubs,Breweries,American (New),33.62870817,"Scottsdale, AZ",-111.89323767,Four Peaks Grill & Tap,False,$$,4.0,625,
191,Irish,Irish Pub,Music Venues,33.6281017,"Scottsdale, AZ",-111.8912231,The Skeptical Chymist,False,$$,3.5,389,
192,American (New),Wine Bars,Cafes,33.6747412139709,"Scottsdale, AZ",-111.888050157246,The Living Room,False,$$,4.0,246,
193,Lounges,Tobacco Shops,Cocktail Bars,33.6738685158948,"Scottsdale, AZ",-111.88836733153,CEDAR ROOM Fine Cigars & Lounge,False,$$,5.0,31,
194,Sports Bars,American (Traditional),Cocktail Bars,33.6745555678279,"Scottsdale, AZ",-111.888217563843,All American Modern Sports Grill,False,$$,3.5,149,
195,American (Traditional),Sports Bars,Breakfast & Brunch,33.6392052826735,"Scottsdale, AZ",-111.881924769312,18 Degrees,False,$$,3.0,110,
196,Sports Bars,American (Traditional),American (New),33.629436,"Scottsdale, AZ",-111.891499,Twin Peaks,False,$$,3.5,437,
197,Italian,Wine Bars,Pizza,33.64101,"Scottsdale, AZ",-111.86225,Sophia's Kitchen,False,$$,4.5,52,
198,Food,Shopping,Lounges,33.671865,"Scottsdale, AZ",-111.8903651,DC Ranch,False,$$$,4.0,5,
199,Sushi Bars,Lounges,Japanese,33.6382752957619,"Scottsdale, AZ",-111.86321134841,Nori Sushi Scottsdale,False,$$,4.0,197,
200,Italian,Pizza,Sports Bars,33.6513692,"Scottsdale, AZ",-111.8862448,Rosati's Pizza,False,$$,3.0,107,
201,Steakhouses,Wine Bars,,33.674238,"Scottsdale, AZ",-111.889288,Flemings Prime Steakhouse & Wine Bar,False,$$$,3.5,239,
202,Venues & Event Spaces,Tiki Bars,Cocktail Bars,37.77945,"San Francisco, CA",-122.42327,Smuggler's Cove,False,$$,4.0,1667,
203,Cocktail Bars,Tiki Bars,,37.76792,"San Francisco, CA",-122.42943,Last Rites,False,$$,4.0,116,
204,Cocktail Bars,,,37.7639,"San Francisco, CA",-122.46447,Fireside Bar,False,$,4.0,303,
205,Gay Bars,Dive Bars,Pubs,37.7611676,"San Francisco, CA",-122.4323913,Last Call Bar,False,$,4.5,91,
206,Lounges,Cocktail Bars,,37.777048,"San Francisco, CA",-122.4386,Bar 821,False,$$,4.0,364,
207,Cocktail Bars,Lounges,,37.7594,"San Francisco, CA",-122.42167,The Beehive,False,$$,4.0,131,
208,Lounges,Cocktail Bars,,37.78322,"San Francisco, CA",-122.46377,Scarlet Lounge,False,$$,5.0,36,
209,Cocktail Bars,Beer Bar,,37.73942,"San Francisco, CA",-122.418243,Holy Water,False,$$,4.5,193,
210,Cocktail Bars,,,37.7765173,"San Francisco, CA",-122.4227968,Linden Room,False,$$,4.5,62,
211,Bars,,,37.76953125,"San Francisco, CA",-122.449371337891,Zam Zam,False,$$,4.0,359,
212,Bars,Venues & Event Spaces,,37.7673552796685,"San Francisco, CA",-122.429470070463,Blackbird,False,$$,4.0,680,
213,Cocktail Bars,Wine Bars,Beer Bar,37.7873489077678,"San Francisco, CA",-122.409739555912,Benjamin Cooper,False,$$,4.5,340,
214,Venues & Event Spaces,Lounges,,37.767941,"San Francisco, CA",-122.429184,The Office,False,$$,5.0,67,
215,Wine Bars,Beer Bar,,37.77554,"San Francisco, CA",-122.43811,Fool's Errand,False,$$,4.5,35,
216,Pubs,Sports Bars,,37.75159,"San Francisco, CA",-122.43313,Valley Tavern,False,$$,4.0,297,
217,Pubs,Dive Bars,,37.78271484375,"San Francisco, CA",-122.464088439941,The Bitter End,False,$,4.0,426,
